Latitude,Longitude,Altitude,Datetime,Seconds_Since_Start
39.981166,116.331096,492.0,2008-10-24 11:48:34,0.0
39.981046,116.331139,492.0,2008-10-24 11:48:36,2.0
39.981085,116.331084,492.0,2008-10-24 11:48:37,3.0
39.981132,116.331075,491.0,2008-10-24 11:48:42,8.0
39.981137,116.331086,490.0,2008-10-24 11:48:47,13.0
39.981102,116.331107,491.0,2008-10-24 11:48:52,18.0
39.9811,116.331078,490.0,2008-10-24 11:48:57,23.0
39.981035,116.331225,461.0,2008-10-24 11:48:59,25.0
39.980806,116.331256,488.0,2008-10-24 11:49:00,26.0
39.980556,116.33145,504.0,2008-10-24 11:49:01,27.0
39.980311,116.331608,514.0,2008-10-24 11:49:02,28.0
39.980244,116.331647,516.0,2008-10-24 11:49:03,29.0
39.980092,116.331746,523.0,2008-10-24 11:49:04,30.0
39.979983,116.331798,495.0,2008-10-24 11:49:05,31.0
39.979814,116.331905,495.0,2008-10-24 11:49:06,32.0
39.979752,116.331923,494.0,2008-10-24 11:49:07,33.0
39.979682,116.33196,493.0,2008-10-24 11:49:08,34.0
39.979558,116.33204,492.0,2008-10-24 11:49:09,35.0
39.979498,116.332056,491.0,2008-10-24 11:49:10,36.0
39.979452,116.332068,489.0,2008-10-24 11:49:12,38.0
39.979379,116.332092,487.0,2008-10-24 11:49:14,40.0
39.979294,116.332136,486.0,2008-10-24 11:49:16,42.0
39.979235,116.332155,484.0,2008-10-24 11:49:18,44.0
39.979183,116.332178,483.0,2008-10-24 11:49:19,45.0
39.979132,116.33219,482.0,2008-10-24 11:49:21,47.0
39.979203,116.332231,480.0,2008-10-24 11:49:23,49.0
39.979152,116.33228,478.0,2008-10-24 11:49:24,50.0
39.979094,116.332267,476.0,2008-10-24 11:49:29,55.0
39.979031,116.332272,476.0,2008-10-24 11:49:30,56.0
39.978922,116.332298,476.0,2008-10-24 11:49:31,57.0
39.978818,116.332305,475.0,2008-10-24 11:49:33,59.0
39.978544,116.332398,475.0,2008-10-24 11:49:34,60.0
39.980257,116.330743,500.0,2008-10-24 11:49:51,77.0
39.980365,116.330643,503.0,2008-10-24 11:49:52,78.0
39.980523,116.330483,508.0,2008-10-24 11:49:53,79.0
39.980657,116.330369,510.0,2008-10-24 11:49:54,80.0
39.980689,116.330322,510.0,2008-10-24 11:49:56,82.0
39.980719,116.330276,509.0,2008-10-24 11:49:57,83.0
39.980668,116.330261,508.0,2008-10-24 11:50:00,86.0
39.980597,116.330288,507.0,2008-10-24 11:50:02,88.0
39.980537,116.330293,506.0,2008-10-24 11:50:04,90.0
39.980512,116.330316,504.0,2008-10-24 11:50:09,95.0
39.980556,116.330284,503.0,2008-10-24 11:50:14,100.0
39.980574,116.330277,503.0,2008-10-24 11:50:19,105.0
39.980592,116.330313,500.0,2008-10-24 11:50:24,110.0
39.980643,116.330327,498.0,2008-10-24 11:50:28,114.0
39.980794,116.330228,494.0,2008-10-24 11:50:31,117.0
39.980893,116.330159,492.0,2008-10-24 11:50:32,118.0
39.980992,116.330088,490.0,2008-10-24 11:50:33,119.0
39.980965,116.330147,488.0,2008-10-24 11:50:38,124.0
39.98101,116.330141,483.0,2008-10-24 11:50:40,126.0
39.980588,116.330447,492.0,2008-10-24 11:50:42,128.0
39.980538,116.330822,489.0,2008-10-24 11:50:43,129.0
39.980423,116.330838,488.0,2008-10-24 11:50:44,130.0
39.979955,116.330968,490.0,2008-10-24 11:50:46,132.0
39.979843,116.331038,489.0,2008-10-24 11:50:47,133.0
39.979776,116.331051,483.0,2008-10-24 11:50:50,136.0
39.979711,116.331078,480.0,2008-10-24 11:50:52,138.0
39.97963,116.331123,477.0,2008-10-24 11:50:54,140.0
39.979574,116.331164,474.0,2008-10-24 11:50:56,142.0
39.9795,116.331197,474.0,2008-10-24 11:50:57,143.0
39.979452,116.33121,470.0,2008-10-24 11:50:59,145.0
39.979397,116.331236,467.0,2008-10-24 11:51:01,147.0
39.979322,116.331259,465.0,2008-10-24 11:51:03,149.0
39.979269,116.331273,464.0,2008-10-24 11:51:04,150.0
39.979182,116.331313,464.0,2008-10-24 11:51:05,151.0
39.979117,116.331337,463.0,2008-10-24 11:51:06,152.0
39.979073,116.331351,461.0,2008-10-24 11:51:07,153.0
39.979023,116.331344,457.0,2008-10-24 11:51:09,155.0
39.978937,116.331347,453.0,2008-10-24 11:51:11,157.0
39.978839,116.331373,450.0,2008-10-24 11:51:13,159.0
39.978714,116.331407,447.0,2008-10-24 11:51:15,161.0
39.978659,116.331417,446.0,2008-10-24 11:51:16,162.0
39.978589,116.331438,445.0,2008-10-24 11:51:17,163.0
39.978541,116.331456,444.0,2008-10-24 11:51:18,164.0
39.978485,116.331454,441.0,2008-10-24 11:51:20,166.0
39.978533,116.331355,437.0,2008-10-24 11:51:22,168.0
39.978617,116.331145,435.0,2008-10-24 11:51:23,169.0
39.978721,116.330825,434.0,2008-10-24 11:51:24,170.0
39.979132,116.330642,429.0,2008-10-24 11:51:25,171.0
39.97924,116.330584,427.0,2008-10-24 11:51:26,172.0
39.979341,116.330525,424.0,2008-10-24 11:51:28,174.0
39.979569,116.33036,421.0,2008-10-24 11:51:29,175.0
39.979618,116.330301,419.0,2008-10-24 11:51:30,176.0
39.97968,116.330211,415.0,2008-10-24 11:51:32,178.0
39.979733,116.33016,413.0,2008-10-24 11:51:33,179.0
39.97979,116.330117,411.0,2008-10-24 11:51:34,180.0
39.979875,116.330038,409.0,2008-10-24 11:51:35,181.0
39.979972,116.329932,400.0,2008-10-24 11:51:39,185.0
39.980043,116.329866,398.0,2008-10-24 11:51:40,186.0
39.979993,116.329831,389.0,2008-10-24 11:51:45,191.0
39.979938,116.329843,385.0,2008-10-24 11:51:47,193.0
39.980125,116.329691,381.0,2008-10-24 11:51:48,194.0
39.980177,116.329641,378.0,2008-10-24 11:51:49,195.0
39.980141,116.329617,370.0,2008-10-24 11:51:53,199.0
39.980112,116.329567,362.0,2008-10-24 11:51:57,203.0
39.980162,116.329514,359.0,2008-10-24 11:51:58,204.0
39.980114,116.32949,350.0,2008-10-24 11:52:02,208.0
39.980182,116.329421,344.0,2008-10-24 11:52:04,210.0
39.980253,116.329366,340.0,2008-10-24 11:52:05,211.0
